url,公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接,公司地址,招标数量,招标总金额,供应商数量
审计会议口译进阶虚拟仿真实验平台建设服务项目成交结果公告,中标,中标结果,审计会议口译进阶虚拟仿真实验平台建设服务项目成交结果公告,,JSGC22G7335,审计会议口译进阶虚拟仿真实验平台建设服务项目,150800.0,南京审计大学,学校,许**-025-58318724,江苏国采工程咨询有限公司,陈**-025-83690878,中语智汇科技（厦门）有限公司 ,中标人     0592-5967875 ,150800.0,2022-09-21,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/362023697/b2,地址厦门火炬高新区软件园二期望海路35号201-1单元,30 次,694.35 万,21 家
江苏卫生健康职业学院1＋X母婴护理职业技能训练虚拟仿真实训采购项目中标结果公告,中标,中标结果,江苏卫生健康职业学院1＋X母婴护理职业技能训练虚拟仿真实训采购项目中标结果公告,,XHTC-FW-2022-1298,"母婴护理职业技能训练虚拟仿真实训,新生儿脐带处理虚实结合系统,盆底康复临床与治疗三维虚拟交互系统,母乳喂养虚拟仿真系统",100000.0,江苏卫生健康职业学院,学校,钟**-025-68170931,新华招标有限公司,张**-025-83715090,厦门立方幻境科技有限公司 ,"中标人     0592-6021809 ,中标人     18049208539 ,中标人     18965158998 ,中标人     17359466660 ,中标人     18960977315 ",100000.0,2022-09-21,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/362025705/b2,地址厦门火炬高新区创业园创业大厦南508A室,93 次,"4,407.46 万",45 家
关于虚拟仿真实训平台的政府采购合同,中标,合同,关于虚拟仿真实训平台的政府采购合同,,LHZX2022-Y-T-002-001,"虚拟仿真实训平台,虚拟仿真资源平台服务端",498000.0,苏州工业园区工业技术学校,学校,陆**-15952425332,,,安徽灵敏信息技术有限公司 ,"中标人     17730018098 ,中标人     18655121515 ,胡**     15339690673 ",498000.0,2022-09-20,江苏,苏州,,,,https://www.zhiliaobiaoxun.com/content/361880666/b2,地址合肥市包河区紫云路与湖北路交口万科蓝山CBD3030-3034室,12 次,542.36 万,4 家
ZYJS-ZC2022042江苏理工学院虚拟仿真实验教学课程开发定制建设项目合同合同公示,中标,合同,ZYJS-ZC2022042江苏理工学院虚拟仿真实验教学课程开发定制建设项目合同合同公示,,ZYJS-ZC2022042,虚拟仿真实验教学课程开发定制建设项目,674000.0,江苏理工学院,学校,采购人-0519-86953157,,,南京恒点信息技术有限公司 ,"中标人     15366054932 ,中标人     13236222111 ,中标人     025-83222270 ,中标人     025-52185541 ,徐**     0516-83590287 ",674000.0,2022-09-20,江苏,常州,,,,https://www.zhiliaobiaoxun.com/content/361851165/b2,地址南京经济技术开发区兴智路6号兴智科技园B栋1602室,78 次,"2,352.28 万",33 家
中标（成交）结果公示：江苏农林职业技术学院智能联合收割机虚拟仿真实训系统采购及相关服务,中标,中标结果,中标（成交）结果公示：江苏农林职业技术学院智能联合收割机虚拟仿真实训系统采购及相关服务,,JSNL2022 112,智能联合收割机虚拟仿真实训系统采购及相关服务,198800.0,江苏农林职业技术学院,学校,"采购人-0511-87290893,金**-15195817565",,,江苏农仿软件科技有限公司 ,中标人     18912384306 ,198800.0,2022-09-20,江苏,镇江,,,,https://www.zhiliaobiaoxun.com/content/361853667/b2,地址无锡市新吴区菱湖大道111号软件园鲸鱼座C栋704、706室,9 次,344.15 万,5 家
中国药科大学氢化肉桂酸的制备虚拟仿真教学系统项目自行采购项目结果公告(2022-ZXCG-0410),中标,中标结果,中国药科大学氢化肉桂酸的制备虚拟仿真教学系统项目自行采购项目结果公告(2022-ZXCG-0410),,2022-ZXCG-0410,氢化肉桂酸的制备虚拟仿真教学系统项目,99000.0,中国药科大学,学校,,,,南京药育智能科技有限公司 ,"薛*     18625188710 ,中标人     025-52311600 ,中标人     18951778401 ,中标人     18061476453 ,熊**     15179168066 ",99000.0,2022-09-19,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/361782495/b2,地址南京市雨花台区宁双路19号云密城3号楼1201、1203室,161 次,"6,655.35 万",66 家
中标（成交）结果公示：江苏农林职业技术学院水稻形态结构与功能特性虚拟仿真实训系统 + 智慧水稻种植管理虚拟仿真系统采购及相关服务,中标,中标结果,中标（成交）结果公示：江苏农林职业技术学院水稻形态结构与功能特性虚拟仿真实训系统 + 智慧水稻种植管理虚拟仿真系统采购及相关服务,,JSNL2022 114,"水稻形态结构与功能特性虚拟仿真实训系统,智慧水稻种植管理虚拟仿真系统采购及相关服务",368000.0,江苏农林职业技术学院,学校,"采购人-0511-87290893,殷**-13915902557",,,上海冠朋数字科技有限公司 ,,368000.0,2022-09-16,江苏,镇江,,,,https://www.zhiliaobiaoxun.com/content/361349510/b2,地址中国（上海）自由贸易试验区芳春路400号1幢3层,4 次,81.95 万,2 家
5G基站建设与维护虚拟仿真实训系统的合同,中标,合同,5G基站建设与维护虚拟仿真实训系统的合同,,20220725144917,5G基站建设与维护虚拟仿真实训系统,772000.0,无锡科技职业学院,学校,采购人-0000-0000000,,,南京中兴信雅达信息科技有限公司 ,"中标人     15365000842 ,中标人     13402938598 ,中标人     13851995121 ,印*     15150586141 ,中标人     13815892254 ",772000.0,2022-09-16,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/361321841/b2,地址南京市栖霞区仙林街道文澜路99号,63 次,"5,090.0 万",25 家
5G基站建设与维护虚拟仿真实训系统的合同公告,中标,合同,5G基站建设与维护虚拟仿真实训系统的合同公告,,WXDSCG2022-13,5G基站建设与维护虚拟仿真实训系统,0.0,无锡科技职业学院,学校,采购人-0510-85342095,,,无锡东盛工程管理咨询有限公司 ,"周**     13093086352 ,虞**     0510-82138333 ",0.0 772000.0,2022-09-16,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/361304921/b2,地址无锡市高浪东路999-8-B1-601,9 次,879.19 万,7 家
5G基站建设与维护虚拟仿真实训系统的合同公告,中标,合同,5G基站建设与维护虚拟仿真实训系统的合同公告,,WXDSCG2022-13,5G基站建设与维护虚拟仿真实训系统,0.0,无锡科技职业学院,学校,采购人-0510-85342095,,,南京中兴信雅达信息科技有限公司 ,"中标人     15365000842 ,中标人     13402938598 ,中标人     13851995121 ,印*     15150586141 ,中标人     13815892254 ",0.0 772000.0,2022-09-16,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/361304921/b2,地址南京市栖霞区仙林街道文澜路99号,63 次,"5,090.0 万",25 家
南京师范大学海滩养护虚拟仿真项目-结果公告,中标,中标结果,南京师范大学海滩养护虚拟仿真项目-结果公告,,NJJC-2022ZFCG0813（S）,"海滩养护虚拟仿真项目,海滩养护虚拟仿真实验系统",238000.0,南京师范大学,学校,任**-025-85891587,南京江城工程项目管理有限公司,郑*-025-58835827-8033,南京先极科技有限公司 ,"中标人     18013981259 ,中标人     13305173656 ,中标人     18013897521 ,中标人     025-83215011 ,中标人     025-83215055 ",238000.0,2022-09-15,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/361021375/b2,地址南京市玄武区成贤街118号303室,221 次,"4,271.67 万",92 家
中国药科大学教学虚拟仿真与模拟药房的HIS系统关联项目自行采购项目结果公告(2022-ZXCG-0407),中标,中标结果,中国药科大学教学虚拟仿真与模拟药房的HIS系统关联项目自行采购项目结果公告(2022-ZXCG-0407),,2022-ZXCG-0407,虚拟仿真与模拟药房的HIS系统关联项目,70000.0,中国药科大学,学校,,,,江苏嘉纳宝医疗科技有限公司 ,"吴*     13851493370 ,中标人     13851930480 ,徐*     18100619197 ",70000.0,2022-09-15,江苏,,,,,https://www.zhiliaobiaoxun.com/content/361196772/b2,地址南京经济技术开发区恒泰路汇智科技园B3第11层,19 次,"1,370.1 万",13 家
中国药科大学糖尿病药物治疗管理虚拟仿真平台（第二期）项目自行采购项目结果公告(2022-ZXCG-0408),中标,中标结果,中国药科大学糖尿病药物治疗管理虚拟仿真平台（第二期）项目自行采购项目结果公告(2022-ZXCG-0408),,2022-ZXCG-0408,糖尿病药物治疗管理虚拟仿真平台,180000.0,中国药科大学,学校,,,,江苏嘉纳宝医疗科技有限公司 ,"吴*     13851493370 ,中标人     13851930480 ,徐*     18100619197 ",180000.0,2022-09-15,江苏,,,,,https://www.zhiliaobiaoxun.com/content/361196550/b2,地址南京经济技术开发区恒泰路汇智科技园B3第11层,19 次,"1,370.1 万",13 家
新能源汽车虚拟仿真实训基地设备及集成采购结果公告,中标,中标结果,新能源汽车虚拟仿真实训基地设备及集成采购结果公告,,LHZC-2022GK0016,"新能源汽车虚拟仿真实训基地设备及集成,智能赛车",5987000.0,南京六合中等专业学校,学校,陈*-025-57130869,南京市公共资源交易中心六合分中心,"代理联系人-025-57113806,陈*-025-57130869",北京昌旭未来科技有限公司 ,"王**     15652084399 ,王*     024-23925220 ",5987000.0,2022-09-14,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/360746777/b2,地址北京市海淀区西三环北路89号4层A-09-64号,7 次,"1,954.24 万",4 家
南京医科大学医保基金风险预警与监管虚拟仿真实验软件开发项目中标结果公告,中标,中标结果,南京医科大学医保基金风险预警与监管虚拟仿真实验软件开发项目中标结果公告,,JSHC-2022070472B3,医保基金风险预警与监管虚拟仿真实验软件开发项目,298800.0,南京医科大学,学校,陈**-025-86868572,江苏省华采招标有限公司,代理联系人-025-83609978,上海逸景网络科技有限公司 ,"中标人     13671527478 ,单*     13391118022 ,中标人     021-65198529 ,张**     18001702998 ,李**     021-60835827 ",298800.0,2022-09-14,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/360746981/b2,地址上海市奉贤区奉浦工业区奉浦大道111号7楼5069室,94 次,"2,158.56 万",48 家
企业廉洁从业大数据审计虚拟仿真实验系统项目成交结果公告,中标,中标结果,企业廉洁从业大数据审计虚拟仿真实验系统项目成交结果公告,,0664-2260SUMEC106D,大数据审计虚拟仿真实验系统项目,265000.0,南京审计大学,学校,许**-025-58318724,苏美达国际技术贸易有限公司,"谢**-0516-84532463,杨*-0516-84532455",南京予创予嘉信息科技有限公司 ,,265000.0,2022-09-13,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/360548396/b2,地址南京市秦淮区水西门大街2号5层509,7 次,128.9 万,7 家
HGJC2022008-淮阴工学院利用豆粕发酵生产可替代抗生素的抗菌肽工艺虚拟仿真实验软件项目成交公告,中标,中标结果,HGJC2022008-淮阴工学院利用豆粕发酵生产可替代抗生素的抗菌肽工艺虚拟仿真实验软件项目成交公告,,HGJC2022 008,豆粕发酵生产可替代抗生素的抗菌肽工艺虚拟仿真实验软件项目,265000.0,淮阴工学院,学校,"王**-0517-83559936,王**-0517-83559815",,,北京微瑞集智科技有限公司 ,"中标人     010-82669071 ,中标人     13060050566 ,中标人     18101094548 ,中标人     13604019235 ,中标人     15110149836 ",265000.0,2022-09-13,江苏,淮安,,,,https://www.zhiliaobiaoxun.com/content/360574335/b2,地址北京市石景山区实兴大街30号院3号楼2层A-0266房间,198 次,1.48 亿,98 家
泰州学院特殊精馏设计及故障处置虚拟仿真实验室采购项目中标公告,中标,中标结果,泰州学院特殊精馏设计及故障处置虚拟仿真实验室采购项目中标公告,,TZXYJZCG2022009-1,特殊精馏设计及故障处置虚拟仿真实验室,129800.0,泰州学院,学校,,,,山东图灵锶科技有限公司 ,"中标人     0531-68655503 ,中标人     0531-80982629 ",129800.0,2022-09-09,江苏,泰州,,,,https://www.zhiliaobiaoxun.com/content/359360617/b2,地址中国（山东）自由贸易试验区济南片区新泺大街1166号美莲广场6楼607B室,17 次,819.09 万,13 家
南京农业大学教务处虚拟仿真实验教学课程建设服务（包件一）采购合同,中标,合同,南京农业大学教务处虚拟仿真实验教学课程建设服务（包件一）采购合同,,ZF20220292,"水稻病害的识别和防治虚拟仿真实验,虚拟仿真实验教学课程建设服务",976000.0,南京农业大学,学校,陆**-025-84399008,,,南京先极科技有限公司 ,"中标人     18013981259 ,中标人     13305173656 ,中标人     18013897521 ,中标人     025-83215011 ,中标人     025-83215055 ",976000.0,2022-09-09,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359362231/b2,地址南京市玄武区成贤街118号303室,221 次,"4,271.67 万",92 家
南京农业大学教务处虚拟仿真实验教学课程建设服务（包件二）项目合同,中标,合同,南京农业大学教务处虚拟仿真实验教学课程建设服务（包件二）项目合同,,ZF20220292,"大功率拖拉机无级变速虚拟仿真实验项目,虚拟仿真实验教学课程建设服务",920000.0,南京农业大学,学校,陆**-025-84399008,,,北京润尼尔网络科技有限公司 ,"中标人     010-56298288 ,中标人     18043692723 ,中标人     15051885671 ,中标人     18280205779 ,中标人     13261231198 ",920000.0,2022-09-09,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359351824/b2,地址北京市石景山区实兴大街30号院3号楼2层A-1859房间（集群注册）,"1,580 次",7.73 亿,554 家
某部某设备虚拟仿真系统（二次）预中标公示,中标,中标结果,某部某设备虚拟仿真系统（二次）预中标公示,,2022-JLPFNJ-F2009,虚拟仿真系统,0.0,某部,政府及事业单位,"朱**-025-80810371,朱**-025-80810356",国信国际工程咨询集团股份有限公司,"吴*-17705186555,郭*-15380804627",北京金石智信科技有限公司 ,中标人     15901165856 ,418000.0 412000.0 428600.0,2022-09-08,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359298658/b2,地址北京市海淀区上地三街9号E座204,20 次,"1,558.81 万",11 家
某部某设备虚拟仿真系统（二次）预中标公示,中标,中标结果,某部某设备虚拟仿真系统（二次）预中标公示,,2022-JLPFNJ-F2009,虚拟仿真系统,0.0,某部,政府及事业单位,"朱**-025-80810371,朱**-025-80810356",国信国际工程咨询集团股份有限公司,"吴*-17705186555,郭*-15380804627",安徽宏振光电科技有限公司 ,,418000.0 412000.0 428600.0,2022-09-08,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359298658/b2,地址安徽省合肥市高新区望江西路800号合肥创新产业园A4栋8层,1 次,0.0 万,1 家
某部某设备虚拟仿真系统（二次）预中标公示,中标,中标结果,某部某设备虚拟仿真系统（二次）预中标公示,,2022-JLPFNJ-F2009,虚拟仿真系统,0.0,某部,政府及事业单位,"朱**-025-80810371,朱**-025-80810356",国信国际工程咨询集团股份有限公司,"吴*-17705186555,郭*-15380804627",合肥众大科技有限公司 ,,418000.0 412000.0 428600.0,2022-09-08,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359298658/b2,地址安徽省合肥市高新区海关路7号A-301,2 次,42.86 万,2 家
农学院植物减数分裂虚拟仿真实验中标(成交公告),中标,中标结果,农学院植物减数分裂虚拟仿真实验中标(成交公告),,FS20220334,植物减数分裂虚拟仿真实验,196000.0,南京农业大学,学校,庄**-025-84399893,,,南京莱医特电子科技有限公司 ,"中标人     025-86529811 ,中标人     18213009192 ,中标人     18251844789 ,陈**     0710-3592319 ,李*     18397911656 ",196000.0,2022-09-08,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359271439/b2,地址南京市雨花台区大周路32号D2南23F,316 次,1.18 亿,123 家
白内障的诊疗虚拟仿真实验项目中标结果公告(SB2-2022013),中标,中标结果,白内障的诊疗虚拟仿真实验项目中标结果公告(SB2-2022013),,YZDXSW-2022-23号,"白内障的诊疗虚拟仿真实验项目,白内障诊疗虚拟仿真实验项目",398000.0,扬州大学,学校,陈**-0514-87977298,江苏苏维工程管理有限公司,赵**-0514-82129526,苏州泰坦互动网络科技有限公司 ,,398000.0,2022-09-07,江苏,扬州,,,,https://www.zhiliaobiaoxun.com/content/358889820/b2,地址苏州工业园区东兴路199号联发大厦1号楼220室（该地址不得从事零售）,5 次,126.2 万,2 家
集成电路人工智能虚拟仿真中心基建改造项目（二次） 成交结果公告,中标,中标结果,集成电路人工智能虚拟仿真中心基建改造项目（二次） 成交结果公告,,JSITGC2022072602,集成电路人工智能虚拟仿真中心基建改造项目,249000.0,江苏信息职业技术学院,学校,杨**-13961856376,江苏苏亚金诚工程管理咨询有限公司,李*-18751555967,无锡馨香知兰科技贸易有限公司 ,,249000.0,2022-09-07,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/358852130/b2,地址无锡市梁溪区锡沪路688号华东装饰城南7号,1 次,24.9 万,1 家
中国药科大学氢化肉桂酸的制备虚拟仿真教学系统项目自行采购项目结果公告(2022-ZXCG-0397),中标,中标结果,中国药科大学氢化肉桂酸的制备虚拟仿真教学系统项目自行采购项目结果公告(2022-ZXCG-0397),,2022-ZXCG-0397,氢化肉桂酸的制备虚拟仿真教学系统项目,99000.0,中国药科大学,学校,,,,南京药育智能科技有限公司 ,"薛*     18625188710 ,中标人     025-52311600 ,中标人     18951778401 ,中标人     18061476453 ,熊**     15179168066 ",99000.0,2022-09-07,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359152259/b2,地址南京市雨花台区宁双路19号云密城3号楼1201、1203室,161 次,"6,655.35 万",66 家
虚拟仿真直播实训室建设项目合同,中标,合同,虚拟仿真直播实训室建设项目合同,,JSZC-320000-XHTC-G2022-0007,虚拟仿真直播实训室建设项目,1381000.0,无锡工艺职业技术学院,学校,采购人-0510-81710078,,,南京茂立科技有限公司 ,"中标人     17805150551 ,中标人     025-84292687 ,中标人     13809033258 ,赵*     18951847917 ,曹**     025-85342095 ",1381000.0,2022-09-06,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/358632178/b2,地址南京市建邺区南湖茶亭东街79号西祠街区9号楼9-3A室,90 次,"5,055.82 万",41 家
HGJC2022007-淮阴工学院集装箱港口设备配置优化虚拟仿真实验项目成交公告,中标,中标结果,HGJC2022007-淮阴工学院集装箱港口设备配置优化虚拟仿真实验项目成交公告,,HGJC2022 007,集装箱港口设备配置优化虚拟仿真实验项目,98500.0,淮阴工学院,学校,"王**-0517-83559936,王**-0517-83559815",,,南京先极科技有限公司 ,"中标人     18013981259 ,中标人     13305173656 ,中标人     18013897521 ,中标人     025-83215011 ,中标人     025-83215055 ",98500.0,2022-09-06,江苏,淮安,,,,https://www.zhiliaobiaoxun.com/content/358639043/b2,地址南京市玄武区成贤街118号303室,221 次,"4,271.67 万",92 家
无锡市政府采购中心关于虚拟仿真实训教学管理及资源共享平台采购项目的中标公告XCGZX2022-116Y,中标,中标结果,无锡市政府采购中心关于虚拟仿真实训教学管理及资源共享平台采购项目的中标公告XCGZX2022-116Y,,XCGZX2022-116Y,虚拟仿真实训教学管理及资源共享平台,0.0,无锡职业技术学院,学校,采购人-0510-81838723,无锡市政府采购中心,吴*-0510-81827750,上海曼恒数字技术股份有限公司 ,"中标人     13360059271 ,中标人     15041193690 ,中标人     18225602075 ,中标人     17621440601 ,中标人     021-31266999 ",0.0,2022-09-06,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/358596385/b2,地址上海市松江区顺庆路500号2幢809室-6,432 次,5.14 亿,214 家
中标（成交）结果公示：江苏农林职业技术学院履带式全喂入联合收割机故障诊断与排除虚拟仿真实训系统采购及相关服务,中标,中标结果,中标（成交）结果公示：江苏农林职业技术学院履带式全喂入联合收割机故障诊断与排除虚拟仿真实训系统采购及相关服务,,JSNL2022 101,履带式全喂入联合收割机故障诊断与排除虚拟仿真实训系统采购及相关服务,135000.0,江苏农林职业技术学院,学校,"采购人-0511-87290893,李**-15295595398",,,南京卓尚智能科技有限公司 ,"中标人     15380769700 ,中标人     15961193128 ",135000.0,2022-09-06,江苏,镇江,,,,https://www.zhiliaobiaoxun.com/content/358605920/b2,地址南京市江宁区秣周东路12号9栋1701,33 次,278.15 万,15 家
现代化工材料虚拟仿真项目,中标,中标结果,现代化工材料虚拟仿真项目,,JSTCC2201112864,现代化工材料虚拟仿真项目,437200.0,南京科技职业学院,学校,"沈**-18652888358,王**-025-58372707",江苏省招标中心有限公司,"姜*-025-83249926,姜*-0516-83249927,陈*-0516-83248600",南京锋洲信息系统集成有限公司 ,中标人     13852287502 ,437200.0,2022-09-02,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/357837745/b2,地址南京市浦口区江浦街道浦滨大道88号科创总部大厦B2412,13 次,434.79 万,7 家
