商品信息,类型,日期,商品ID,商品链接,图片链接,流量来源,访客数,下单买家数,下单转化率,浏览量,浏览量占比,店内跳转人数,跳出本店人数,收藏人数,加购人数,收藏率,加购率,支付件数,支付买家数,支付转化率,直接支付买家数,收藏商品支付买家数,粉丝支付买家数,加购商品支付买家数,支付金额
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手淘旺信,2,0,0.00,2,0.82%,0,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手猫搜索,2,0,0.00,5,2.06%,1,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,订阅,1,0,0.00,1,0.41%,1,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,一淘,1,0,0.00,1,0.41%,0,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,日常营销活动,1,0,0.00,2,0.82%,1,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
【变频三面拢】海尔曜钻吸抽油烟机灶具套餐厨房燃气灶套装C26U1,本品,2022-08-23,	665533963095,https://detail.tmall.com/item.htm?id=665533963095,https://img.alicdn.com/bao/uploaded/i3/470168984/O1CN01RpOmUD2GEj1znfa0D_!!0-item_pic.jpg,手淘其他店铺,1,0,0.00,1,0.41%,0,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,日常营销活动,621,0,0.00,766,26.11%,129,530,12,3,1.93%,0.48%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,超级短视频,558,0,0.00,586,19.97%,12,558,1,0,0.18%,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,直通车,214,0,0.00,366,12.47%,71,201,2,6,0.93%,2.80%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,淘内免费其他,193,0,0.00,340,11.59%,75,167,4,4,2.07%,2.07%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,万相台,118,3,2.54%,173,5.90%,23,111,1,4,0.85%,3.39%,2,2,1.69%,0,0,1,1,8569.72
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘搜索,62,0,0.00,115,3.92%,33,38,0,3,0.00,4.84%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘淘宝直播,53,0,0.00,84,2.86%,8,49,1,0,1.89%,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,购物车,48,0,0.00,154,5.25%,30,27,0,4,0.00,8.33%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,品销宝- 品牌专区,45,0,0.00,84,2.86%,39,9,0,5,0.00,11.11%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘推荐,29,0,0.00,52,1.77%,14,21,1,1,3.45%,3.45%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘推荐-首页推荐-微详情,16,0,0.00,22,-,5,13,0,0,0.00,0.00,0,0,0.00,0,0,0,0,-
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘推荐-其他猜你喜欢,7,0,0.00,10,-,4,4,1,0,14.29%,0.00,0,0,0.00,0,0,0,0,-
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘推荐-购后推荐,6,0,0.00,20,-,5,4,0,1,0.00,16.67%,0,0,0.00,0,0,0,0,-
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,我的淘宝,28,0,0.00,55,1.87%,14,20,0,1,0.00,3.57%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘旺信,22,0,0.00,40,1.36%,16,9,1,1,4.55%,4.55%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,订阅,7,0,0.00,18,0.61%,5,5,0,1,0.00,14.29%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,淘宝客,6,0,0.00,8,0.27%,0,6,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,WAP天猫,5,0,0.00,9,0.31%,0,5,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘消息中心,5,0,0.00,13,0.44%,2,5,0,1,0.00,20.00%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,短视频全屏页上下滑,5,0,0.00,10,0.34%,1,5,0,1,0.00,20.00%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,直接访问,4,0,0.00,4,0.14%,0,4,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘其他店铺商品详情,4,0,0.00,6,0.20%,2,3,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手淘问大家,4,0,0.00,10,0.34%,2,2,0,1,0.00,25.00%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手猫商品详情,3,0,0.00,3,0.10%,1,2,0,1,0.00,33.33%,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,逛逛,3,0,0.00,3,0.10%,0,3,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,手猫搜索,3,0,0.00,3,0.10%,2,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,淘外网站其他,3,0,0.00,10,0.34%,0,3,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,天猫榜单,2,0,0.00,3,0.10%,2,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,天猫榜单-其他入口榜单,1,0,0.00,2,-,1,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,-
海尔变频有效风T29欧式抽油烟机燃气灶灶具套餐厨房顶吸烟灶套装,本品,2022-08-23,	679129295924,https://detail.tmall.com/item.htm?id=679129295924,https://img.alicdn.com/bao/uploaded/i4/470168984/O1CN01NEX5lC2GEj22n1F0y_!!0-item_pic.jpg,天猫榜单-搜索入口榜单,1,0,0.00,1,-,1,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,-
