url,公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接,公司地址,招标数量,招标总金额,供应商数量
阜阳职业技术学院人体解剖学一体化数字实验室建设采购项目成交结果公告,中标,中标结果,阜阳职业技术学院人体解剖学一体化数字实验室建设采购项目成交结果公告,,FY2022FS0268,"解剖虚拟仿真教学系统,人体解剖学一体化数字实验室建设",2458900.0,阜阳职业技术学院,学校,,安徽金阳造价咨询有限公司,"高**-13705585051,张**-0558-2179185",河南中博生物塑化科技有限公司 ,"中标人     0371-86661161 ,中标人     13526604759 ,中标人     13673621894 ,代**     15937135052 ,中标人     15890696673 ",2458900.0,2022-09-08,安徽,阜阳,,,,https://www.zhiliaobiaoxun.com/content/359278841/b2,地址河南省郑州市高新区长椿路11号Y05幢二楼,275 次,2.73 亿,137 家
亳州职业技术学院中医虚拟仿真中心,中标,中标结果,亳州职业技术学院中医虚拟仿真中心,,,中医虚拟仿真中心,400000.0,亳州职业技术学院,学校,,,,亳州市华康医疗用品销售有限公司 ,"马*     17356777669 ,中标人     15385207999 ,中标人     0558-5757999 ",400000.0,2022-09-06,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/358663162/b2,地址安徽省亳州市谯城区工业园区时代国际医药城7-101,56 次,"1,861.44 万",24 家
亳州职业技术学院中医虚拟仿真中心合同公告,中标,合同,亳州职业技术学院中医虚拟仿真中心合同公告,,BZSJ2022CG151,"中医虚拟仿真中心,教学设备,3D铜人-VR针刺",400000.0,亳州职业技术学院,学校,采购人-0558-3319835,,,亳州市华康医疗用品销售有限公司 ,"马*     17356777669 ,中标人     15385207999 ,中标人     0558-5757999 ",400000.0,2022-09-06,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/358603535/b2,地址安徽省亳州市谯城区工业园区时代国际医药城7-101,56 次,"1,861.44 万",24 家
亳州职业技术学院护理虚拟仿真软件项目合同公告,中标,合同,亳州职业技术学院护理虚拟仿真软件项目合同公告,,BZSJ2022CG154,"护理虚拟仿真软件项目,病情观察和护理虚拟仿真系统",270000.0,亳州职业技术学院,学校,采购人-0558-3319835,,,亳州市华康医疗用品销售有限公司 ,"马*     17356777669 ,中标人     15385207999 ,中标人     0558-5757999 ",270000.0,2022-09-05,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/358388984/b2,地址安徽省亳州市谯城区工业园区时代国际医药城7-101,56 次,"1,861.44 万",24 家
亳州职业技术学院护理虚拟仿真软件项目,中标,中标结果,亳州职业技术学院护理虚拟仿真软件项目,,,护理虚拟仿真软件项目,270000.0,亳州职业技术学院,学校,,,,亳州市华康医疗用品销售有限公司 ,"马*     17356777669 ,中标人     15385207999 ,中标人     0558-5757999 ",270000.0,2022-09-05,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/358431752/b2,地址安徽省亳州市谯城区工业园区时代国际医药城7-101,56 次,"1,861.44 万",24 家
2022年安徽师范大学高水平大学建设项目四期（四包）的合同公告,中标,合同,2022年安徽师范大学高水平大学建设项目四期（四包）的合同公告,,FSKY34000120225132号,"运动生理学虚拟仿真实验平台,高水平大学建设项目",689600.0,安徽师范大学,学校,王**-0553-5910277,江苏大成工程咨询有限公司,,上海梦之路数字科技有限公司 ,"高**     17721317611 ,中标人     021-38953200 ,中标人     18221870841 ,中标人     15359033675 ,中标人     13795411314 ",689600.0,2022-09-05,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/358310561/b2,地址中国（上海）自由贸易试验区纳贤路800号1幢B座7层701A室,404 次,2.20 亿,131 家
芜湖职业技术学院生物学院1+X粮农食品安全评价证书及有机化学实验室设备采购项目(2包粮农食品安全证书)合同公告,中标,合同,芜湖职业技术学院生物学院1+X粮农食品安全评价证书及有机化学实验室设备采购项目(2包粮农食品安全证书)合同公告,,WH01CG2022HW6721,"致病菌检测技能等级培训虚拟仿真教学服务系统,粮农食品安全评价证书,有机化学实验室设备,粮农食品安全证书",426600.0,芜湖职业技术学院,学校,采购人-0553-5775826,,,安徽国仪进出口贸易有限公司 ,"中标人     15375053462 ,中标人     0551-64287884 ,中标人     15375059441 ",426600.0,2022-09-02,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/357729866/b2,地址合肥市蜀山新产业园区田埠路以南研发综合楼新华夏大厦403室,37 次,"2,765.44 万",16 家
六安职业技术学院集成电路测试实训室合同公告,中标,合同,六安职业技术学院集成电路测试实训室合同公告,,LAZY-202238,"IC制造虚拟仿真教学平台,集成电路测试实训室",1485000.0,六安职业技术学院,学校,采购人-0564-3713019,,,合肥凌翔信息科技有限公司 ,"中标人     15956943894 ,中标人     0551-65837778 ,中标人     0551-65377586 ,中标人     13866114718 ,中标人     15855125365 ",1485000.0,2022-09-01,安徽,六安,,,,https://www.zhiliaobiaoxun.com/content/357182160/b2,地址合肥市高新区望江西路800号创新产业园C1楼1207室,277 次,"9,851.91 万",74 家
亳州职业技术学院中药资源与鉴定虚拟仿真中心建设项目合同公告,中标,合同,亳州职业技术学院中药资源与鉴定虚拟仿真中心建设项目合同公告,,BZSJ2022CG144号,中药资源与鉴定虚拟仿真中心建设项目,1160000.0,亳州职业技术学院,学校,采购人-0558-3319835,,,河南优幕信息科技有限公司 ,"张**     18003843718 ,中标人     17814612664 ",1160000.0,2022-08-29,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/356364550/b2,地址郑州市金水区青年路145号1号楼2单元4层412号,14 次,866.29 万,9 家
亳州职业技术学院中药资源与鉴定虚拟仿真中心建设项目,中标,中标结果,亳州职业技术学院中药资源与鉴定虚拟仿真中心建设项目,,,中药资源与鉴定虚拟仿真中心建设项目,1160000.0,亳州职业技术学院,学校,,,,河南优幕信息科技有限公司 ,"张**     18003843718 ,中标人     17814612664 ",1160000.0,2022-08-29,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/356402869/b2,地址郑州市金水区青年路145号1号楼2单元4层412号,14 次,866.29 万,9 家
安徽化工学校污水处理职业技能等级培训虚拟仿真系统项目（二次）中标候选人公示,中标,中标候选人,安徽化工学校污水处理职业技能等级培训虚拟仿真系统项目（二次）中标候选人公示,,CG-AQ-2022-743,虚拟仿真系统项目,615000.0,安徽化工学校,学校,"韩**-0556-5991152,韩**-0556-5999962",,,安徽亨联贸易发展有限公司 ,,615000.0,2022-08-25,安徽,安庆,,,,https://www.zhiliaobiaoxun.com/content/355341976/b2,地址安徽省合肥市高新区红枫路与科学大道交叉口中瑞大厦科研楼A座5层A区4357,2 次,123.0 万,1 家
芜湖职业技术学院生物学院1+X粮农食品安全评价证书及有机化学实验室设备采购项目(2包粮农食品安全证书)中标结果公告,中标,中标结果,芜湖职业技术学院生物学院1+X粮农食品安全评价证书及有机化学实验室设备采购项目(2包粮农食品安全证书)中标结果公告,,FS34020120220634号,"致病菌微生物技能等级培训虚拟仿真教学服务系统,有机化学实验室设备,粮农食品安全评价证书,致病菌检测技能等级培训虚拟仿真教学服务系统,粮农食品安全证书",426600.0,芜湖职业技术学院,学校,采购人-0553-5775826,安徽省招标集团股份有限公司,张*-15339669491,安徽国仪进出口贸易有限公司 ,"中标人     15375053462 ,中标人     0551-64287884 ,中标人     15375059441 ",426600.0,2022-08-25,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/355280870/b2,地址合肥市蜀山新产业园区田埠路以南研发综合楼新华夏大厦403室,37 次,"2,765.44 万",16 家
滁州城市职业学院生理虚拟仿真教学中心建设项目二次合同公告,中标,合同,滁州城市职业学院生理虚拟仿真教学中心建设项目二次合同公告,,czcg202207-098,"生理虚拟仿真教学中心建设项目,基础知识,生理虚拟实训平台,临床案例分析,在线虚拟仿真训练,综合实验虚拟仿真教学软件",680000.0,滁州城市职业学院,学校,采购人-0550-3083184,,,上海梦之路数字科技有限公司 ,"高**     17721317611 ,中标人     021-38953200 ,中标人     18221870841 ,中标人     15359033675 ,中标人     13795411314 ",680000.0,2022-08-22,安徽,滁州,,,,https://www.zhiliaobiaoxun.com/content/354498395/b2,地址中国（上海）自由贸易试验区纳贤路800号1幢B座7层701A室,404 次,2.20 亿,131 家
六安职业技术学院集成电路测试实训室成交结果公告,中标,中标结果,六安职业技术学院集成电路测试实训室成交结果公告,,LAZY-202238,"IC制造虚拟仿真教学平台,集成电路测试实训室",1485000.0,六安职业技术学院,学校,采购人-0564-3713019,国华工程科技（集团）有限责任公司,戚*-0564-3337298,合肥凌翔信息科技有限公司 ,"中标人     15956943894 ,中标人     0551-65837778 ,中标人     0551-65377586 ,中标人     13866114718 ,中标人     15855125365 ",1485000.0,2022-08-18,安徽,六安,,,,https://www.zhiliaobiaoxun.com/content/353415525/b2,地址合肥市高新区望江西路800号创新产业园C1楼1207室,277 次,"9,851.91 万",74 家
亳州职业技术学院中医虚拟仿真中心（标段编号：BZSJ2022CG15101）中标公示,中标,中标结果,亳州职业技术学院中医虚拟仿真中心（标段编号：BZSJ2022CG15101）中标公示,,BZSJ2022CG151,中医虚拟仿真中心,400000.0,亳州职业技术学院,学校,采购人-0558-3319835,亳州市公共资源交易中心,圣*-0558-5991161,亳州市华康医疗用品销售有限公司 ,"马*     17356777669 ,中标人     15385207999 ,中标人     0558-5757999 ",400000.0,2022-08-17,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/353113879/b2,地址安徽省亳州市谯城区工业园区时代国际医药城7-101,56 次,"1,861.44 万",24 家
亳州职业技术学院护理虚拟仿真软件项目（标段编号：BZSJ2022CG15401）中标公示,中标,中标结果,亳州职业技术学院护理虚拟仿真软件项目（标段编号：BZSJ2022CG15401）中标公示,,BZSJ2022CG154,"急救护理虚拟仿真系统,四步触诊及胎心听诊虚实结合系统,护理虚拟仿真软件项目,道路事故院前急救VR实训系统,临床医学虚拟现实VR交互系统,心脏病理分析,交通事故cpr,病情观察和护理虚拟仿真系统",270000.0,亳州职业技术学院,学校,采购人-0558-3319835,亳州市公共资源交易中心,圣*-0558-5991161,亳州市华康医疗用品销售有限公司 ,"马*     17356777669 ,中标人     15385207999 ,中标人     0558-5757999 ",270000.0,2022-08-16,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/352785704/b2,地址安徽省亳州市谯城区工业园区时代国际医药城7-101,56 次,"1,861.44 万",24 家
安徽水利水电职业技术学院智慧物流与虚拟仿真实训室建设中标（成交）结果公告,中标,中标结果,安徽水利水电职业技术学院智慧物流与虚拟仿真实训室建设中标（成交）结果公告,,2022BFAHZ01650,"智慧物流与虚拟仿真实训室建设项目,智能物流构建与实训系统",897296.0,安徽水利水电职业技术学院,学校,采购人-0551-67316332,安徽省政府采购中心,"赵**-0551-66223257,周**-66223645,李*-66223646,李*-0551-66223645",北京中物汇智科技有限公司 ,"赵**     010-57215765 ,刘**     13269679407 ",897296.0,2022-08-15,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/352659018/b2,地址北京市通州区云杉路7号2幢3-054,19 次,993.88 万,14 家
亳州职业技术学院中药资源与鉴定虚拟仿真中心建设项目（标段编号：BZSJ2022CG14401）中标公示,中标,中标结果,亳州职业技术学院中药资源与鉴定虚拟仿真中心建设项目（标段编号：BZSJ2022CG14401）中标公示,,BZSJ2022CG144号,"中药资源与鉴定虚拟仿真中心建设项目,药材交互识别平台,物体识别屏",1160000.0,亳州职业技术学院,学校,采购人-0558-3319835,亳州市公共资源交易中心,蒋*-0558-5991063,河南优幕信息科技有限公司 ,"张**     18003843718 ,中标人     17814612664 ",1160000.0,2022-08-15,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/352634419/b2,地址郑州市金水区青年路145号1号楼2单元4层412号,14 次,866.29 万,9 家
安徽中医药大学2022年药学院教学软件采购中标（成交）结果公告,中标,中标结果,安徽中医药大学2022年药学院教学软件采购中标（成交）结果公告,,2022BFAHZ01473,"生产实训虚拟仿真软件,教学软件",358600.0,安徽中医药大学,学校,采购人-0551-68129113,安徽省政府采购中心,"周**-0551-66223865,周**-66223645,李*-66223646,李*-0551-66223645",合肥利米特商贸有限公司 ,邱**     14755630201 ,358600.0,2022-08-15,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/352630018/b2,地址安徽省合肥市庐阳区临泉路与周湾路交口四里河畔C区20栋604室,9 次,353.38 万,5 家
滁州城市职业学院生理虚拟仿真教学中心建设项目二次中标结果公告,中标,中标结果,滁州城市职业学院生理虚拟仿真教学中心建设项目二次中标结果公告,,czcg202207-098,"生理虚拟仿真教学中心建设项目,窗体顶端",680000.0,滁州城市职业学院,学校,丁**-15955502309,安徽立地工程咨询有限公司,"翁**-13965950189,全**-0550-3831128,丁**-15955502309",上海梦之路数字科技有限公司 ,"高**     17721317611 ,中标人     021-38953200 ,中标人     18221870841 ,中标人     15359033675 ,中标人     13795411314 ",680000.0,2022-08-12,安徽,滁州,,,,https://www.zhiliaobiaoxun.com/content/351491528/b2,地址中国（上海）自由贸易试验区纳贤路800号1幢B座7层701A室,404 次,2.20 亿,131 家
安徽理工大学虚拟仿真实验软件开发项目成交结果公告,中标,中标结果,安徽理工大学虚拟仿真实验软件开发项目成交结果公告,,2022ZXCG0011,虚拟仿真实验软件开发项目,440000.0,安徽理工大学,学校,李**-0554-6639804,淮南众信政府采购代理服务有限公司,代理联系人-0554-2687798,北京润尼尔网络科技有限公司 ,"中标人     010-56298288 ,中标人     18043692723 ,中标人     15051885671 ,中标人     18280205779 ,中标人     13261231198 ",440000.0,2022-08-10,安徽,淮南,,,,https://www.zhiliaobiaoxun.com/content/350898122/b2,地址北京市石景山区实兴大街30号院3号楼2层A-1859房间（集群注册）,"1,580 次",7.73 亿,554 家
安徽职业技术学院2022年职业教育示范性虚拟仿真实训基地建设项目合同公告,中标,合同,安徽职业技术学院2022年职业教育示范性虚拟仿真实训基地建设项目合同公告,,340000222420504300001,"虚拟仿真实训基地建设项目,示范基地",6042200.0,安徽职业技术学院,学校,采购人-13956029070,,,安徽卷云信息技术有限公司 ,"中标人     0551-63667429 ,中标人     15805600671 ,王*     18130014336 ,中标人     13866134627 ,中标人     0551-63667428 ",6042200.0,2022-08-10,安徽,,,,,https://www.zhiliaobiaoxun.com/content/351022043/b2,地址合肥市高新区望江西路800号创新创业园D1楼6层南楼607-610室,95 次,1.23 亿,41 家
安徽医科大学2022年实验教学中心临床医学情景式教学课程建设设备采购第1包实验教学中心虚拟仿真实验教学相关设备采购中标（成交）结果公告,中标,中标结果,安徽医科大学2022年实验教学中心临床医学情景式教学课程建设设备采购第1包实验教学中心虚拟仿真实验教学相关设备采购中标（成交）结果公告,,2022BFAHZ01765,"虚拟仿真实验教学相关设备,临床医学情景式教学课程建设设备",1474700.0,安徽医科大学,学校,采购人-0551-65167852,安徽省政府采购中心,"闫**-0551-66223736,李*-66223646,李*-0551-66223645",合肥麦蒂医学科技有限公司 ,中标人     15209889969 ,1474700.0,2022-08-09,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/350673861/b2,地址安徽省合肥市瑶海区临泉路安徽大市场瑶海配送中心综合楼一楼A-6号,11 次,"1,531.62 万",2 家
安徽医科大学2022年实验教学中心临床医学情景式教学课程建设设备采购第2包实验教学中心虚拟仿真实验教学中心及OSCE考站UPS（不间断电源）等智能化设备采购中标（成交）结果公告,中标,中标结果,安徽医科大学2022年实验教学中心临床医学情景式教学课程建设设备采购第2包实验教学中心虚拟仿真实验教学中心及OSCE考站UPS（不间断电源）等智能化设备采购中标（成交）结果公告,,2022BFAHZ01765,"虚拟仿真实验教学中心,服务器,智能化设备,不间断电源,UPS,临床医学情景式教学课程建设设备",773888.0,安徽医科大学,学校,采购人-0551-65167852,安徽省政府采购中心,"闫**-0551-66223736,李*-66223646,李*-0551-66223645",安徽思云特智能工程技术有限公司 ,"中标人     0551-62651697 ,陈*     18256585688 ",773888.0,2022-08-09,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/350673886/b2,地址安徽省合肥市高新区长江西路669号拓基城市广场金座A座1904室,7 次,466.82 万,2 家
2022年安徽师范大学高水平大学建设项目四期的中标公告,中标,中标结果,2022年安徽师范大学高水平大学建设项目四期的中标公告,,FSKY34000120225132号,"运动生理学虚拟仿真实验平台,高水平大学建设项目,无线便携录播平板电脑,三维测力台系统,红外运动捕捉系统,多功能酶标仪",0.0,安徽师范大学,学校,王**-0553-5910277,江苏大成工程咨询有限公司,余*-18726216696,上海梦之路数字科技有限公司 ,"高**     17721317611 ,中标人     021-38953200 ,中标人     18221870841 ,中标人     15359033675 ,中标人     13795411314 ",689600.0 1028900.0 958000.0 792000.0 165620.0,2022-08-05,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/349492622/b2,地址中国（上海）自由贸易试验区纳贤路800号1幢B座7层701A室,404 次,2.20 亿,131 家
2022年安徽师范大学高水平大学建设项目四期的中标公告,中标,中标结果,2022年安徽师范大学高水平大学建设项目四期的中标公告,,FSKY34000120225132号,"运动生理学虚拟仿真实验平台,高水平大学建设项目,无线便携录播平板电脑,三维测力台系统,红外运动捕捉系统,多功能酶标仪",0.0,安徽师范大学,学校,王**-0553-5910277,江苏大成工程咨询有限公司,余*-18726216696,赢富仪器科技（上海）有限公司 ,"中标人     021-65057069 ,中标人     18019144633 ,中标人     19121486813 ,郝**     18918937919 ,中标人     17321428670 ",689600.0 1028900.0 958000.0 792000.0 165620.0,2022-08-05,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/349492622/b2,地址上海市杨浦区隆昌路619号356幢AB08室,249 次,1.78 亿,109 家
2022年安徽师范大学高水平大学建设项目四期的中标公告,中标,中标结果,2022年安徽师范大学高水平大学建设项目四期的中标公告,,FSKY34000120225132号,"运动生理学虚拟仿真实验平台,高水平大学建设项目,无线便携录播平板电脑,三维测力台系统,红外运动捕捉系统,多功能酶标仪",0.0,安徽师范大学,学校,王**-0553-5910277,江苏大成工程咨询有限公司,余*-18726216696,安徽国仪进出口贸易有限公司 ,"中标人     15375053462 ,中标人     0551-64287884 ,中标人     15375059441 ",689600.0 1028900.0 958000.0 792000.0 165620.0,2022-08-05,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/349492622/b2,地址合肥市蜀山新产业园区田埠路以南研发综合楼新华夏大厦403室,37 次,"2,765.44 万",16 家
2022年安徽师范大学高水平大学建设项目四期的中标公告,中标,中标结果,2022年安徽师范大学高水平大学建设项目四期的中标公告,,FSKY34000120225132号,"运动生理学虚拟仿真实验平台,高水平大学建设项目,无线便携录播平板电脑,三维测力台系统,红外运动捕捉系统,多功能酶标仪",0.0,安徽师范大学,学校,王**-0553-5910277,江苏大成工程咨询有限公司,余*-18726216696,合肥宽博仪器有限公司 ,"中标人     0551-62752325 ,中标人     18255158832 ,中标人     13865804235 ,中标人     18326022558 ",689600.0 1028900.0 958000.0 792000.0 165620.0,2022-08-05,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/349492622/b2,地址安徽省合肥市高新区红枫路8号红枫智谷创业园A2栋102室,18 次,"1,249.12 万",7 家
2022年安徽师范大学高水平大学建设项目四期的中标公告,中标,中标结果,2022年安徽师范大学高水平大学建设项目四期的中标公告,,FSKY34000120225132号,"运动生理学虚拟仿真实验平台,高水平大学建设项目,无线便携录播平板电脑,三维测力台系统,红外运动捕捉系统,多功能酶标仪",0.0,安徽师范大学,学校,王**-0553-5910277,江苏大成工程咨询有限公司,余*-18726216696,安徽云山科技有限公司 ,中标人     0566-2081729 ,689600.0 1028900.0 958000.0 792000.0 165620.0,2022-08-05,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/349492622/b2,地址安徽省池州市贵池区站前区长江南路池州百汇广场G-2幢102,2 次,16.56 万,1 家
巢湖学院2022年网络系统建设与运维1+X实验室采购合同（第2包：SDN实验平台）公告,中标,合同,巢湖学院2022年网络系统建设与运维1+X实验室采购合同（第2包：SDN实验平台）公告,,预20220320号,"SDN实验平台,网络系统建设与运维1X实验室,虚拟网络仿真实训平台,网络实验资源包",299700.0,巢湖学院,学校,李**-0551-82362635,,,南京秉蔚信息科技有限公司 ,中标人     025-69907548 ,299700.0,2022-07-29,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/347094374/b2,地址南京市江宁开发区南佑路7号二楼C创空间214室（江宁开发区）,5 次,80.01 万,4 家
