公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接,公司地址,招标数量,招标总金额,供应商数量
中标,中标结果,济南工程职业技术学院智慧建造工法教学实训中心项目,,SDGP370100000202202001174,"智慧建造虚拟仿真教学实训中心,智慧建造工法教学实训中心项目",1193000.0,济南工程职业技术学院,学校,采购人-13791136595,山东瑞宏工程咨询管理有限公司,马**-0531-88288621,青岛齐源成套设备有限公司 ,"中标人     18253227798 ,中标人     13864805283 ",1193000.0,2022-09-19,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/361679105/b2,地址青岛市市南区徐州路98号丙2号楼613户,33 次,"1,084.47 万",12 家
中标,中标结果,青岛理工大学虚拟仿真实验教学项目中标（成交）公告,,SDGP370000000202202007488,"光量子行走虚拟仿真实验教学项目建设,空间目标监测信息加密电路系统虚拟仿真实验项目建设,城市地下工程控制爆破虚拟仿真实验教学项目建设,安全供水虚拟仿真实验教学项目建设,系统时频域分析与模拟虚拟仿真实验教学项目建设,虚拟仿真实验教学共享平台数据治理与功能提升",0.0,青岛理工大学,学校,采购人-0532-85071780,山东正信招标有限责任公司,荣**-16606356270,济南科明数码技术股份有限公司 ,"中标人     18668990895 ,中标人     15990900338 ,胡**     0531-88693898 ,范**     0531-88693897 ,陈*     18668990882 ",588100.0 199000.0 99980.0 199500.0,2022-09-14,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/360879033/b2,地址山东省济南市高新区舜华路2000号舜泰广场9号楼14层B区1401室,290 次,1.93 亿,102 家
中标,中标结果,青岛理工大学虚拟仿真实验教学项目中标（成交）公告,,SDGP370000000202202007488,"光量子行走虚拟仿真实验教学项目建设,空间目标监测信息加密电路系统虚拟仿真实验项目建设,城市地下工程控制爆破虚拟仿真实验教学项目建设,安全供水虚拟仿真实验教学项目建设,系统时频域分析与模拟虚拟仿真实验教学项目建设,虚拟仿真实验教学共享平台数据治理与功能提升",0.0,青岛理工大学,学校,采购人-0532-85071780,山东正信招标有限责任公司,荣**-16606356270,北京润尼尔网络科技有限公司 ,"中标人     010-56298288 ,中标人     18043692723 ,中标人     15051885671 ,中标人     18280205779 ,中标人     13261231198 ",588100.0 199000.0 99980.0 199500.0,2022-09-14,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/360879033/b2,地址北京市石景山区实兴大街30号院3号楼2层A-1859房间（集群注册）,"1,576 次",7.73 亿,553 家
中标,中标结果,青岛理工大学虚拟仿真实验教学项目中标（成交）公告,,SDGP370000000202202007488,"光量子行走虚拟仿真实验教学项目建设,空间目标监测信息加密电路系统虚拟仿真实验项目建设,城市地下工程控制爆破虚拟仿真实验教学项目建设,安全供水虚拟仿真实验教学项目建设,系统时频域分析与模拟虚拟仿真实验教学项目建设,虚拟仿真实验教学共享平台数据治理与功能提升",0.0,青岛理工大学,学校,采购人-0532-85071780,山东正信招标有限责任公司,荣**-16606356270,安徽省科大奥锐科技有限公司 ,"中标人     17730041768 ,中标人     18295082234 ,中标人     18905607121 ,中标人     13085030057 ,中标人     0551-65333931 ",588100.0 199000.0 99980.0 199500.0,2022-09-14,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/360879033/b2,地址合肥市高新区天元路1号留学生园1号楼349室,163 次,"3,882.74 万",97 家
中标,合同,济南工程职业技术学院马克思主义学院思政虚拟仿真后续建设项目合同公示,,SDGP370100000202202001171,"思政虚拟仿真后续建设项目,物品",99500.0,济南工程职业技术学院,学校,采购人-0531-86385766,,,杭州浙大旭日科技开发有限公司 ,"中标人     0571-86691088 ,中标人     18057189124 ,中标人     13389016623 ,陈**     15828811165 ,卢**     13289838628 ",99500.0,2022-09-13,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/360565678/b2,地址杭州市滨江区伟业路298号先锋科技大厦310室,146 次,1.57 亿,70 家
中标,合同,【山东省本级】山东建筑大学山东建筑大学绿色建筑材料腐蚀防护与电镀虚拟仿真实验项目合同公开,,SDGP370000000202202006408,"绿色建筑材料腐蚀防护与电镀虚拟仿真实验项目,物品",395500.0,山东建筑大学,学校,采购人-86361800,,,山东贝利特信息科技有限公司 ,"中标人     15820098646 ,杨**     15550449609 ",395500.0,2022-09-08,山东,,,,,https://www.zhiliaobiaoxun.com/content/359291392/b2,地址中国（山东）自由贸易试验区济南片区会展路1168号鲍德新天地广场9-1-607,22 次,977.53 万,4 家
中标,中标结果,齐河县职业中等专业学校精品资源课建设项目成交公告,,CYGS-QH-20220826,"虚拟仿真教学项目资源,智能制造专业群建设线上精品课程,精品资源课建设项目,智能制造专业群建设线上6门课程数字化资源",0.0,齐河县职业中等专业学校,学校,采购人-18765567423,山东成业工程咨询有限公司,李*-0534-5995987,北京易智时代数字科技有限公司 ,"中标人     13911029389 ,中标人     010-62919812 ",159700.0 328000.0,2022-09-08,山东,德州,,,,https://www.zhiliaobiaoxun.com/content/359290467/b2,地址北京市海淀区上地东里二区7号楼3门一层102,34 次,"2,213.42 万",17 家
中标,中标结果,齐河县职业中等专业学校精品资源课建设项目成交公告,,CYGS-QH-20220826,"虚拟仿真教学项目资源,智能制造专业群建设线上精品课程,精品资源课建设项目,智能制造专业群建设线上6门课程数字化资源",0.0,齐河县职业中等专业学校,学校,采购人-18765567423,山东成业工程咨询有限公司,李*-0534-5995987,山东普布斯信息科技有限公司 ,中标人     0531-82391801 ,159700.0 328000.0,2022-09-08,山东,德州,,,,https://www.zhiliaobiaoxun.com/content/359290467/b2,地址山东省济南市历下区山大路157号华强C栋2708,6 次,49.9 万,3 家
中标,中标结果,济南工程职业技术学院马克思主义学院思政虚拟仿真后续建设项目,,SDGP370100000202202001171,思政虚拟仿真后续建设项目,99500.0,济南工程职业技术学院,学校,采购人-13791136595,山东瑞宏工程咨询管理有限公司,马**-0531-88288621,上海卓越睿新数码科技股份有限公司 ,"中标人     13324099062 ,中标人     18690271181 ,中标人     021-60248600 ,中标人     15986307142 ,中标人     18186861086 ",99500.0,2022-09-07,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/358986408/b2,地址上海市徐汇区钦州北路1188号1幢901、902、903、904室,"1,378 次",110.04 亿,535 家
中标,合同,【山东省本级】菏泽医学专科学校菏泽医学专科学校医学影像技术虚拟仿真实训室建设合同公开,,SDGP370000000202202006416,"医学影像技术虚拟仿真实训室建设,行业应用软件",900000.0,菏泽医学专科学校,学校,庞**-0530-5925730,,,山东贝利特信息科技有限公司 ,"中标人     15820098646 ,杨**     15550449609 ",900000.0,2022-09-06,山东,菏泽,,,,https://www.zhiliaobiaoxun.com/content/358681476/b2,地址中国（山东）自由贸易试验区济南片区会展路1168号鲍德新天地广场9-1-607,22 次,977.53 万,4 家
中标,中标结果,山东信息职业技术学院虚拟仿真研创中心资源制作设备采购项目中标（成交）公告,,SDGP370000000202202006751,虚拟仿真研创中心资源制作设备,1156570.0,山东信息职业技术学院,学校,采购人-0536-2958168,山东世纪华都工程咨询有限公司,代理联系人-15306460729,山东学教商贸有限公司 ,"中标人     19862563659 ,中标人     17854269829 ,中标人     15898709171 ,中标人     15253357383 ",1156570.0,2022-09-05,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/358431104/b2,地址山东省淄博市高新区柳泉路105号新世纪广场二号楼0813室,18 次,"1,310.08 万",9 家
中标,中标结果,山东信息职业技术学院虚拟仿真战场环境模拟实训室建设项目（一）中标（成交）公告,,SDGP370000000202202006754,虚拟仿真战场环境模拟实训室建设项目,1840000.0,山东信息职业技术学院,学校,采购人-0536-2958168,山东世纪华都工程咨询有限公司,代理联系人-15306460729,山东浩索信息科技有限公司 ,中标人     18764086573 ,1840000.0,2022-09-05,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/358430969/b2,地址山东省济南市历下区刘智远路3-6号1号楼301,8 次,304.45 万,3 家
中标,合同,聊城市职业技能公共实训基地智慧建造技术实训中心虚拟仿真实训教室设备采购项目合同公示,,SDGP371500000202202000489,"虚拟仿真实训教室设备,服务器",2784000.0,聊城市技师学院,学校,采购人-18596350860,,,山东柒达智能科技有限公司 ,,2784000.0,2022-09-05,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/358441658/b2,地址山东省潍坊高新区新城街道府佑社区金马路5008号十甲花园东区32号楼1312室,1 次,184.0 万,1 家
中标,中标结果,山东信息职业技术学院虚拟仿真战场环境模拟实训室建设项目（二）中标（成交）公告,,SDGP370000000202202006753,虚拟仿真战场环境模拟实训室建设项目,485000.0,山东信息职业技术学院,学校,采购人-0536-2958168,山东世纪华都工程咨询有限公司,代理联系人-15306460729,北京磁力波教育科技有限公司 ,"中标人     15832055716 ,中标人     0310-8053336 ,中标人     17320690274 ",485000.0,2022-09-05,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/358431275/b2,地址北京市密云区学府花园24-1至24-20号1层24-2,10 次,"1,781.21 万",3 家
中标,中标结果,山东信息职业技术学院集成电路虚拟仿真实训室建设项目中标（成交）公告,,SDGP370000000202202006740,集成电路虚拟仿真实训室建设项目,1266000.0,山东信息职业技术学院,学校,采购人-0536-2958168,山东盛和招标代理有限公司,沈*-0536-8906157,山东比特律动信息科技有限公司 ,,1266000.0,2022-09-05,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/358431168/b2,地址中国（山东）自由贸易试验区济南片区经十路7000号汉峪金谷A4区3栋34层056,1 次,48.5 万,1 家
中标,合同,【山东省本级】山东信息职业技术学院山东信息职业技术学院实网攻防靶场虚拟仿真实训室建设项目合同公开,,SDGP370000000202202005677,"实网攻防靶场虚拟仿真实训室建设项目,教学专用仪器",595000.0,山东信息职业技术学院,学校,采购人-13626366126,,,山东教友信息科技有限公司 ,"中标人     15253159014 ,中标人     19863686787 ,李*     15666663083 ,李*     0531-58669911 ,中标人     18605314686 ",595000.0,2022-09-02,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/357664414/b2,地址中国（山东）自由贸易试验区济南片区工业南路44号丁豪广场6号楼2单元310室,256 次,"7,998.12 万",60 家
中标,合同,【山东省本级】山东建筑大学山东建筑大学土木学院虚拟仿真试验课程项目（高水平）合同公开,,SDGP370000000202202004107,"虚拟仿真试验课程项目,教学专用仪器",798600.0,山东建筑大学,学校,采购人-86361800,,,山东谷联网络技术有限公司 ,"中标人     15605319913 ,慈*     15508621630 ,中标人     18563712977 ,中标人     19546129642 ,中标人     18766189953 ",798600.0,2022-08-31,山东,,,,,https://www.zhiliaobiaoxun.com/content/357066320/b2,地址济南市历下区文化东路63号恒大帝景9号楼1116,268 次,1.30 亿,67 家
中标,合同,聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-深化设计建筑CAD绘图实训室（软件部分）采购项目合同公示,,SDGP371500000202202000483,"行业应用软件,深化设计建筑CAD绘图实训室",649800.0,聊城市技师学院,学校,采购人-18596350860,,,济南科明数码技术股份有限公司 ,"中标人     18668990895 ,中标人     15990900338 ,胡**     0531-88693898 ,范**     0531-88693897 ,陈*     18668990882 ",649800.0,2022-08-31,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/357072882/b2,地址山东省济南市高新区舜华路2000号舜泰广场9号楼14层B区1401室,290 次,1.93 亿,102 家
中标,合同,潍坊护理职业学院机房升级改造、教学系统、WAF设备及磁盘阵列采购2标段合同公示,,SDGP370700000202202000377,"虚拟仿真教学系统,机房升级改造,WAF设备,磁盘阵列",256000.0,潍坊护理职业学院,学校,采购人-15094963505,,,济南柏滕电子科技有限公司 ,中标人     15098793693 ,256000.0,2022-08-31,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/356948122/b2,地址山东省济南市历下区文化东路76号万豪中心105,157 次,"5,030.34 万",27 家
中标,合同,聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑虚拟工场实训室采购项目合同公示,,SDGP371500000202202000491,"教学专用仪器,装配式建筑虚拟工场实训室",1615800.0,聊城市技师学院,学校,采购人-18596350860,,,潍坊瑞泰医疗器械有限公司 ,中标人     13606362979 ,1615800.0,2022-08-30,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/356633092/b2,地址山东省潍坊高新区新城街道凤凰社区宝通街以南、金马路以西华普克拉公寓1306号,17 次,106.32 万,3 家
中标,合同,聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑构件生产实训室（装配式工程项目深化设计建筑平法钢筋建模软件）采购项目合同公示,,SDGP371500000202202000482,"钢筋建模软件,行业应用软件,装配式建筑构件生产实训室",465990.0,聊城市技师学院,学校,采购人-18596350860,,,山东汇唐教育科技有限公司 ,中标人     15806603569 ,465990.0,2022-08-30,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/357069002/b2,地址山东省济南市历城区北园大街9号荣盛时代广场1号楼、2号底层商业楼2122,6 次,467.16 万,3 家
中标,中标结果,山东商业职业技术学院智慧财经产业学院数字化管理会计虚拟仿真实训平台采购项目（1921）中标（成交）公告,,SDGP370000000202202005614,数字化管理会计虚拟仿真实训平台,298900.0,山东商业职业技术学院,学校,采购人-86335512,山东三木招标有限公司,代理联系人-0531-81764009,山东苏一光信息科技有限公司 ,"丰**     18953198507 ,中标人     15853119389 ",298900.0,2022-08-29,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/356449673/b2,地址济南市历下区奥体西路1222号力高国际花园6号楼713,35 次,"1,214.76 万",12 家
中标,中标结果,山东商业职业技术学院智慧财经产业学院智能财税技能测评平台采购项目（1922）中标（成交）公告,,SDGP370000000202202005613,"数字化管理会计虚拟仿真实训平台,智能财税技能测评平台",0.0,山东商业职业技术学院,学校,采购人-86335512,山东三木招标有限公司,代理联系人-0531-81764009,山东匠智实境智能科技有限公司 ,"中标人     15864028066 ,王*     15864228066 ",478000.0 0.0,2022-08-29,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/356449566/b2,地址山东省济南市市中区二环南路5266号三楼100号,23 次,"1,267.98 万",12 家
中标,中标结果,山东商业职业技术学院智慧财经产业学院智能财税技能测评平台采购项目（1922）中标（成交）公告,,SDGP370000000202202005613,"数字化管理会计虚拟仿真实训平台,智能财税技能测评平台",0.0,山东商业职业技术学院,学校,采购人-86335512,山东三木招标有限公司,代理联系人-0531-81764009,中联集团教育科技有限公司 ,"中标人     15620381804 ,中标人     18296149726 ,中标人     18314580175 ,中标人     010-88000066 ,中标人     010-8800066 ",478000.0 0.0,2022-08-29,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/356449566/b2,地址北京市西城区复兴门内大街28号凯晨世贸中心东座F4层759室,302 次,1.56 亿,147 家
中标,中标结果,济南护理职业学院济南护理职业学院虚拟仿真实训室建设采购验收报告公示,,,虚拟仿真实训室建设,1989560.0,济南护理职业学院,学校,,,,济南辰科信息科技有限公司 ,中标人     15689886173 ,1989560.0,2022-08-26,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/355569197/b2,地址中国（山东）自由贸易试验区济南片区舜华路科汇大厦B座103,17 次,281.16 万,11 家
中标,中标结果,青岛职业技术学院学前教育专业虚拟仿真实训课程建设项目中标公告,,,虚拟仿真实训课程建设项目,597000.0,青岛职业技术学院,学校,采购人-0532-86105650,中科高盛咨询集团有限公司青岛分公司,代理联系人-0532-85859787,济南腾泽信息技术有限公司 ,"赵**     0531-59833098 ,中标人     15064106160 ,孙     15168853555 ,赵**     0531-65752851 ",597000.0,2022-08-26,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/355540934/b2,地址山东省济南市历城区唐冶街道鲁商凤凰广场5号楼903室,243 次,"2,478.96 万",49 家
中标,合同,【山东省本级】山东水利职业学院山东水利职业学院园林工程虚拟仿真及计量计价软件项目合同公开,,SDGP370000000202202006350,"园林工程虚拟仿真及计量计价软件项目,计算机设备及软件",490000.0,山东水利职业学院,学校,采购人-0633-7983960,,,青岛信通志合信息科技有限公司 ,中标人     15166685810 ,490000.0,2022-08-26,山东,日照,,,,https://www.zhiliaobiaoxun.com/content/355592166/b2,地址山东省青岛市城阳区南流路288号3号楼307户,5 次,275.55 万,2 家
中标,中标结果,青岛科技大学设备采购中标（成交）公告,,SDGP370000000202202006960,"虚拟仿真平台,设备",431600.0,青岛科技大学,学校,采购人-0532-88959027,山东盛和招标代理有限公司,"代理联系人-0532-85659918,代理联系人-0532-66701999",山东宇爱通信息科技有限公司 ,中标人     15753552406 ,431600.0,2022-08-26,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/355590637/b2,地址山东省日照高新区学苑路237号智慧谷园区3a-1008,2 次,98.8 万,1 家
中标,中标结果,山东省青岛卫生学校山东省青岛卫生学校药学教学软件采购项目中标公告,,,"药品经营质量管理GSP虚拟仿真实训平台软件,药品质量检验虚拟实训仿真平台软件,药学教学软件",596800.0,山东省青岛卫生学校,学校,采购人-0532-85978199,青岛采购招标中心有限公司,王*-0532-58760967,青岛隆来多电子科技有限公司 ,中标人     13305320157 ,596800.0,2022-08-26,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/355533605/b2,地址山东省青岛市崂山区同安路896号10号楼1单元1502,58 次,"1,222.46 万",4 家
中标,合同,潍坊护理职业学院智慧黑板、临床护理虚拟仿真软件及课程建设设备采购 第二标段合同公示,,ZFCG-2022-0000225,"临床护理虚拟仿真软件,智慧黑板,课程建设设备",260000.0,潍坊护理职业学院,学校,张**-0536-3887239,,,青岛云豹网络科技有限公司 ,中标人     15689925426 ,260000.0,2022-08-25,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/355224913/b2,地址山东省青岛市市北区芙蓉路132号3单元502户,5 次,191.06 万,3 家
中标,合同,潍坊护理职业学院智慧黑板、临床护理虚拟仿真软件及课程建设设备采购（第一标段）合同公示,,ZFCG-2022-0000225,"临床护理虚拟仿真软件,智慧黑板,课程建设设备",1191828.0,潍坊护理职业学院,学校,张**-0536-3887239,,,山东威军医疗科技有限公司 ,中标人     13105451115 ,1191828.0,2022-08-25,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/355211582/b2,地址山东省烟台市芝罘区桃园里74-3-11号,9 次,126.19 万,4 家
中标,中标结果,山东医学高等专科学校虚拟仿真实训基地2022年二期建设项目（临沂校区）中标（成交）公告,,SDGP370000000202202006287,虚拟仿真实训基地2022年二期建设项目,1790000.0,山东医学高等专科学校,学校,采购人-0539-8235084,山东华仁永旺招标有限公司,于**-0531-88589237,中国移动通信集团山东有限公司 ,"王**     13805433993 ,中标人     15266911977 ,中标人     13953453137 ,中标人     15726168826 ,中标人     17854301086 ",1790000.0,2022-08-25,山东,临沂,,,,https://www.zhiliaobiaoxun.com/content/355392850/b2,地址济南市经十路20569号,"2,653 次",218.35 亿,"1,101 家"
中标,中标结果,【聊城】聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑虚拟工场实训室采购项目聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑虚拟工场实训室采购中标公示,,SDGP371500000202202000491,"智能建造虚拟仿真实训,装配式建筑虚拟工场实训室",1615800.0,聊城市技师学院,学校,杜**-0635-8503176,山东冠宇招标有限公司,张**-15065523063,苏州峰佳医疗科技有限公司 ,"中标人     13585671234 ,中标人     0512-5219585 ",1615800.0,2022-08-24,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/355029499/b2,地址常熟市碧溪街道四海路11号5号楼312室,33 次,"1,696.98 万",19 家
中标,中标结果,菏泽医学专科学校医学影像技术虚拟仿真实训室建设中标（成交）公告,,SDGP370000000202202006416,医学影像技术虚拟仿真实训室建设,900000.0,菏泽医学专科学校,学校,采购人-0530-5925896,山东维诚达招标有限公司,王**-0531-88693525,山东汇唐教育科技有限公司 ,中标人     15806603569 ,900000.0,2022-08-23,山东,菏泽,,,,https://www.zhiliaobiaoxun.com/content/354847718/b2,地址山东省济南市历城区北园大街9号荣盛时代广场1号楼、2号底层商业楼2122,6 次,467.16 万,3 家
中标,中标结果,聊城市职业技能公共实训基地智慧建造技术实训中心虚拟仿真实训教室设备采购项目中标（成交）公告,,SDGP371500000202202000489,虚拟仿真实训教室设备,2784000.0,聊城市技师学院,学校,杜**-0635-8503176,山东晟源项目管理有限公司,代理联系人-0635-8229176,山东学教商贸有限公司 ,"中标人     19862563659 ,中标人     17854269829 ,中标人     15898709171 ,中标人     15253357383 ",2784000.0,2022-08-23,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/354818257/b2,地址山东省淄博市高新区柳泉路105号新世纪广场二号楼0813室,18 次,"1,310.08 万",9 家
中标,合同,【山东省本级】菏泽医学专科学校菏泽医学专科学校中医药类虚拟仿真软件库首期建设项目合同公开,,SDGP370000000202202005877,"中医药类虚拟仿真软件库首期建设项目,行业应用软件",383800.0,菏泽医学专科学校,学校,庞**-0530-5925730,,,北京磁力波教育科技有限公司 ,"中标人     15832055716 ,中标人     0310-8053336 ,中标人     17320690274 ",383800.0,2022-08-23,山东,菏泽,,,,https://www.zhiliaobiaoxun.com/content/354737618/b2,地址北京市密云区学府花园24-1至24-20号1层24-2,10 次,"1,781.21 万",3 家
