公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,中标结果,郑州大学基础医学院基础医学虚拟仿真实验教学中心建设,,豫财招标采购-2020-1236,"基础医学虚拟仿真实验教学中心建设项目,教学专用仪器",1148500.0,郑州大学,学校,李**-13526759626,,,河南恒茂创远科技股份有限公司,中标人-0371-63506641,1148500.0,2020-12-09,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/280031965/b2
中标,中标结果,洛阳幼儿师范学校省”双高“建设-基于移动互联的人工智能学前教育智慧实训平台建设工程成交公告,,洛采竞磋-2020-121,"岗前技能实训虚拟仿真系统,学前职业技能训练考核系统,数据库服务器,幼师资格证考试训练系统,基于移动互联的人工智能学前教育智慧实训平台建设工程,VR仿真眼镜",800700.0,洛阳幼儿师范学校,学校,陈**-0379-63977266,水发卓恒工程管理有限公司,陈**-0379-62901599,郑州三狮信息技术有限公司,,800700.0,2020-12-09,河南,洛阳,,,,https://www.zhiliaobiaoxun.com/content/280340728/b2
中标,中标结果,河南牧业经济学院基础兽医学实验教学项目-成交公告,,豫财磋商采购-2020-562,"3D数字犬解剖虚拟仿真实验软件,教学一体机,控制台电脑,摄像机,动物塑化标本,高清摄像无影灯系统,生物显微镜,解剖数码互动实验室控制系统,基础兽医学实验教学项目",1498500.0,河南牧业经济学院,学校,刘**-0371-63516118,河南省光大建设管理有限公司,龙**-0371-86610696,河南科苑仪器设备有限公司,,1498500.0,2020-12-09,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/314701980/b2
中标,中标结果,河南中医药大学计算机算法虚拟仿真项目及伴随服务竞谈结果公示,,校内竞谈-2020-xx02,计算机算法虚拟仿真项目及伴随服务,149700.0,河南中医药大学信息技术学院,学校,,,,北京润尼尔网络科技有限公司,,149700.0,2020-12-07,河南,,,,,https://www.zhiliaobiaoxun.com/content/177223663/b2
中标,中标结果,河南理工大学智能开采工艺虚拟仿真实验系统-验收报告公示,,豫财竞谈-2019-511,"智能开采工艺虚拟仿真实验系统,教学专用仪器",0.0,河南理工大学,学校,,,,郑州中安科贸有限公司,王*-0371-63595500,0.0,2020-12-07,河南,焦作,,,,https://www.zhiliaobiaoxun.com/content/259430120/b2
中标,合同,河南中医药大学失眠患者辨证施护虚拟仿真实验教学项目合同公示,,,失眠患者辨证施护虚拟仿真实验教学项目,359300.0,河南中医药大学,学校,,河南豫信招标有限责任公司,卢**-0371-63911057,北京宏远长丰科技有限公司,朱**-15034300982,359300.0,2020-12-07,河南,,,,,https://www.zhiliaobiaoxun.com/content/362418113/b2
中标,中标结果,河南牧业经济学院虚拟仿真语言实训中心建设项目-成交公告,,豫财磋商采购-2020-556,"建设项目,及安装",35156.0,河南牧业经济学院,学校,刘**-0371-63516118,中新创达咨询有限公司,,"郑州今尚电子科技有限公司
河南魔力桥教育科技有限公司",,"1189000.0
1279760.0",2020-12-07,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/240590841/b2
中标,中标结果,郑州大学建筑学院虚拟仿真实验室虚拟现实教学实验实训平台设备采购项目成交公告,,郑大竞争性磋商-2020-55,"虚拟仿真实验室虚拟现实教学实验实训平台设备,虚拟现实教学及实验实训平台软件",496500.0,郑州大学,学校,罗**-0371-67781776,中睿智工程管理有限公司,"孟**-0371-55129033,张**-13393723130",河南锡倡信息技术有限公司,,496500.0,2020-12-04,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/314703023/b2
中标,中标结果,郑州市经济贸易学校新校区虚拟仿真探索实验中心项目-中标公告,,郑财招标采购-2020-368,"智慧冷链VR虚拟仿真软件,互动电视,VR设备,平板电脑,VR无人机配送系统,VR港口实训系统,配套桌椅,AR港口系统,拼装组合桌椅,VR物流安全实训系统,AR空港系统,3D冷链物流系统,虚拟实训室环境提升,虚拟仿真探索实验中心项目",1569600.0,郑州市经济贸易学校,学校,张**-0371-63815398,河南省机电设备招标股份有限公司,杜**-0371-65928024,郑州索特信息技术有限公司,,1569600.0,2020-12-01,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/313594356/b2
中标,中标结果,郑州大学基础医学院免疫学虚拟仿真实验教学采购项目,,郑大竞争性谈判-2020-69,"免疫学虚拟仿真实验教学,NK细胞活性测定,抗酸染色法,流感病毒综合实验,病毒鸡胚培养,红细胞凝集实验,巨噬细胞功能测定,抗血清制备及效价测定,细胞亚群检测,免疫印迹分析,结核分枝杆菌的检验虚拟仿真实验,外周血标本的采集及处理,免疫重建检查技术",150000.0,郑州大学基础医学院,学校,李*-13526759626,,,,,,2020-11-30,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/223853725/b2
中标,中标结果,河南农业大学园艺学院2020园艺重点学科建设仪器采购项目-中标公告,,豫财招标采购-2020-1311,"设施蔬菜标准生产园创建和栽培技术虚拟仿真实训软件,体视荧光显微镜,建设仪器,多功能高速离心机,台式冷冻高速离心机,低温人工气候箱,高速微型离心机,移液器,PCR仪",0.0,河南农业大学,学校,韩**-0371-56552779,河南省科教仪器设备招标有限公司,邹**-0371-66364470,"北京易用视点科技有限公司
河南拓晶科技有限公司",,"297800.0
1183200.0",2020-11-30,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/314721666/b2
中标,中标结果,郑州铁路技师学院2019年省级高技能人才培养示范基地建设项目单一来源采购公告,,豫财单一采购-2020-147,"虚拟仿真软件,盾构教学机,建设项目,盾构机模型",5570000.0,郑州铁路技师学院,学校,吴**-0371-56511693,河南省教育招标服务有限公司,翟**-0371-56058512,中铁工程装备集团盾构制造有限公司,,5570000.0,2020-11-26,河南,南阳,,,,https://www.zhiliaobiaoxun.com/content/223339336/b2
中标,中标结果,河南工业大学法制新闻采写虚拟仿真实验教学项目成交公告,,HGD-2020-0 80-CS,虚拟仿真实验教学项目,267000.0,河南工业大学,学校,王**-0371-67758908,大成工程咨询有限公司,何**-0371-65585906,河南视海电子科技有限公司,,267000.0,2020-11-24,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/290658422/b2
中标,中标结果,中原工学院虚拟仿真数字化服装智能设计平台项目成交结果公告,,豫教磋商采购-2020-142,"服装结构设计虚拟仿真软件,服装3D数字化展示云平台,智能交互手触制版系统,虚拟三维试衣软件,虚拟仿真数字化服装智能设计平台项目",950000.0,中原工学院,学校,,河南省教育招标服务有限公司,王**-0371-56058517,河南恒胜电子科技有限公司,,948500.0,2020-11-24,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/286634549/b2
中标,中标结果,郑州职业技术学院虚拟仿真实训中心装饰工程中标结果公示,,,虚拟仿真实训中心装饰工程,991000.0,郑州职业技术学院,学校,常**-0371-64961199,中益工程管理有限公司,宋**-0371-60981807,河南吉龙实业有限公司,,920000.0,2020-11-20,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/314767805/b2
中标,中标结果,河南中医药大学第一临床医学院儿科虚拟仿真教学软件开发项目成交结果公告,,HNZB2020090952,儿科虚拟仿真教学软件开发项目,80000.0,河南中医药大学第一临床医学院,学校,李**-0371-66221631,河南省机电设备招标股份有限公司,"刘**-0371-65928006,刘**-0371-65928339",北京润尼尔网络科技有限公司,,79700.0,2020-11-20,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/269704301/b2
中标,合同,VR虚拟仿真实训中心劥购置项目合同,,郑财招标采购-2020-345,VR虚拟仿真实训中心设备,15977988,郑州职业技术学院,学校,常**-0371-64961199,,,深圳国泰安教育技术有限公司,许**-18768869990,15977988,2020-11-19,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/280036579/b2
中标,中标结果,信阳师范学院生物制药虚拟仿真综合教学平台建设项目结果公告,,校招询价2020-051,生物制药虚拟仿真综合教学平台建设项目,118000.0,信阳师范学院,学校,,,,郑州长兴仪器设备有限公司,,118000.0,2020-11-17,河南,信阳,,,,https://www.zhiliaobiaoxun.com/content/245123793/b2
中标,中标结果,郑州大学水利科学与工程学院工程安全与防灾虚拟仿真教学中心建设采购项目-成交公告,,豫财磋商采购-2020-504,工程安全与防灾虚拟仿真教学中心建设,2821300.0,郑州大学,学校,张**-0371-67780116,中睿智工程管理有限公司,"孟**-0371-55129033,张**-13393723130",北京强尼科技有限公司,,2821300.0,2020-11-17,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/314774774/b2
中标,中标结果,河南中医药大学学龄前儿童视力中医健康促进评定建设虚拟仿真实验教学项目成交结果公告,,管理学院竞谈-2020-11,学龄前儿童视力中医健康促进评定建设虚拟仿真实验教学项目,149000.0,河南中医药大学,学校,张**-0371-65926538,,,北京合联益诚科技有限公司,,149000.0,2020-11-17,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/362418057/b2
